90
0	0	0
1	1	1	0	1
2	1	1	0	1
3	5	1	1	1
4	5	1	1	1
5	10	1	1	1
6	28	2	1	4	1	1
7	5	1	1	1
8	10	1	1	1
9	1	2	5	6	1	1
10	57	1	5	1
11	66	1	5	1
12	38	1	5	1
13	15	1	6	1
14	24	1	6	1
15	10	1	6	1
16	15	3	2	7	8	1	1	1
17	10	1	2	1
18	10	1	9	1
19	24	3	12	15	17	1	1	1
20	40	2	9	18	1	1
21	32	1	9	1
22	57	1	9	1
23	15	1	9	1
24	10	1	9	1
25	38	1	9	1
26	53	1	9	1
27	10	1	9	1
28	12	2	10	13	1	1
29	39	3	11	14	19	1	1	1
30	4	1	19	1
31	24	3	26	27	30	1	1	1
32	24	1	20	1
33	15	1	20	1
34	10	1	21	1
35	32	1	21	1
36	57	1	21	1
37	66	1	21	1
38	12	2	22	23	1	1
39	39	3	24	25	31	1	1	1
40	28	1	31	1
41	40	2	20	34	1	1
42	12	2	33	36	1	1
43	10	1	35	1
44	57	1	35	1
45	32	1	35	1
46	66	1	35	1
47	15	1	41	1
48	24	1	41	1
49	39	2	32	37	1	1
50	28	1	40	1
51	40	2	41	43	1	1
52	12	2	44	47	1	1
53	111	1	45	1
54	84	1	45	1
55	38	1	45	1
56	39	3	46	48	50	1	1	1
57	28	1	50	1
58	69	1	51	1
59	42	1	51	1
60	10	1	51	1
61	24	3	55	57	60	1	1	1
62	12	2	53	58	1	1
63	39	3	54	59	61	1	1	1
64	42	1	63	1
65	12	2	62	64	1	1
66	28	1	65	1
67	24	1	56	1
68	40	1	56	1
69	24	3	52	66	67	1	1	1
70	24	1	49	1
71	28	1	69	1
72	40	2	49	68	1	1
73	40	2	39	72	1	1
74	38	1	72	1
75	24	3	42	70	71	1	1	1
76	36	2	74	75	1	1
77	10	1	39	1
78	24	3	38	76	77	1	1	1
79	10	1	73	1
80	12	2	29	73	1	1
81	40	2	16	80	1	1
82	24	1	29	1
83	8	2	78	79	1	1
84	24	3	28	82	83	1	1	1
85	24	1	80	1
86	36	2	84	85	1	1
87	24	1	16	1
88	24	3	3	86	87	1	1	1
89	0	2	81	88	1	1

